name,space_id,color
Ballet,0,#D8C1BF
Denim,0,#394F63
Echo,0,#C6C3BB
Elegant,0,#E2DAD9
Fashion,0,#DAD9D7
Floral,0,#EEEFE7
Flow,0,#97ABA8
Floyd,0,#A8AFB5
Glamour,0,#405843
Herbarium,0,#40624C
Infinity,0,#D9DEE0
Labyrinth,0,#BEC1AA
Legend,0,#7C7C7B
Light,0,#E9EDEA
Magic day,0,#E5E6DA
Mellow,0,#E3DDD6
Midnight,0,#3A546C
Milky,0,#d2d8d8
Mist,0,#BEC9D5
Mocha,0,#BEAB9E
Modern loft,0,#51504e
Natural,0,#CCCAC8
Oxygen,0,#637f94
Pixie,0,#d5e0d9
Poetic,0,#AAC0BF
Promenade,0,#b6bcbc
Puff,0,#E9E6EB
Regatta,0,#799ba6
Rhythm,0,#BABAB8
Rustic,0,#D6CCCB
Secret garden,0,#34615B
Shade,0,#E1E0DE
Silver blue,0,#DFE2E3
Siren,0,#BEC3C8
Snow,0,#f1efeb
Sparkling,0,#E5DAC5
Straw,0,#F8F3F0
Trust,0,#CBC1B1
Warm,0,#DDCEC3
Zelda,0,#CFCFCE
