name,space_id,color
Admiral,0,#023F5B
Almond,0,#E2BCA7
Angel Wings,0,#EBEAE3
Apricot,0,#FBE3CD
Aqua,0,#C3D8ED
Azure,0,#688291
Banana,0,#F5EFD4
Break Free,0,#6B9099
Burgundy,0,#6B1E45
Candy Pink,0,#F8BECF
Cappuccino,0,#E6D9CA
Caramel Pudding,0,#D5CAC6
Cherry,0,#AA2D21
Cleopatra,0,#00697D
Cotton Candy,0,#DFD9D2
Crocus Violet,0,#A69EC5
Cup of Coffee,0,#B79F97
Dark Raspberry,0,#801124
Dolce Vita,0,#D08E8F
Dreams,0,#D9DFE3
Frappe,0,#A48A80
Gerbera,0,#FCDDB3
Healing Grey,0,#BCC5BD
Holiday,0,#DCBDB3
Ideal,0,#f8fbf4
Innocence,0,#E2E2DD
Iris,0,#FAE8C4
Juicy Orange,0,#FFB726
Lavender,0,#CAC7E1
Light Brown,0,#D7B48B
Light Grey,0,#D3D3CF
Lovely,0,#E9D2CB
Luna,0,#D9D9DB
Macadamia,0,#E0D0C1
Marina Blue,0,#446296
Melody,0,#fbf6f2
Melon,0,#F9EBD7
Misty Violet,0,#D4D2DD
Mountain Charm,0,#887E82
Neutral,0,#DEE6EC
Panna Cotta,0,#FFFCE8
Peace,0,#9BB3A7
Pear,0,#E0DBA4
Perfect,0,#595B5B
Pistachio,0,#DCEBBC
Powder Pink,0,#E0CCC9
Red Deluxe,0,#AE1B34
Relax,0,#C0C5CE
Sailboat,0,#EFECE4
Salvia,0,#DCDEC0
Satin Blue,0,#B5D6DB
Sea Blue,0,#689CC5
Silver Pearl,0,#E3E9EE
Sky Grey,0,#B5C3C6
Stony Beach,0,#8C9795
Stony Grey,0,#B1B1AF
Sunflower,0,#FAE6C7
Sunny Day,0,#FFDE94
Supernova,0,#E4EEEC
Tender,0,#DEDFDD
Trendy,0,#4E6962
Vanilla Cream,0,#F1EAE8
Vanilla Muffin,0,#C9BFB2
Wasabi,0,#B8AE2D
Water Lily,0,#E5E4E8
Wonderful,0,#CEB9A7
