name,space_id,color
Amber,0,#FFB726
Angora,0,#DEDFDD
Aquarium,0,#45A8B8
Beach sand,0,#FCDDB3
Blue diamond,0,#B5D6DB
Blue sky,0,#C3D8ED
Bunny,0,#E4E0CB
Buttery biscuit,0,#D5CAC6
Caffe latte,0,#E6D9CA
Camel,0,#FFC692
Camomile,0,#FFDE94
Caramel,0,#FBE3CD
Cashmere beige,0,#C9BFB2
Chocolate pudding,0,#A48A80
Clarity,0,#DBEFE1
Classic,0,#BAA18C
Cosmos,0,#3D5068
Desert rose,0,#E0CCC9
Fiord,0,#5D9BA3
Flamingo,0,#F0E5E8
Freedom,0,#DEE6EC
Fresh lilac,0,#A69EC5
Green apple,0,#DCD673
Green hill,0,#B7B760
Grey shell,0,#BCC5BD
Harmony,0,#7C9BAB
Hot&spicy,0,#AE1B34
Magic rose,0,#F8BECF
Melon juice,0,#FAE6C7
Mineral,0,#628A77
Mint,0,#DCEBBC
Misty grey,0,#D3D3CF
Moonstone,0,#8C9795
Mustang,0,#D4C0A5
North calm,0,#D3D7D7
Oyster,0,#D9E7F1
Paciffic,0,#00697D
Rosemary,0,#7D9591
Silver fox,0,#D4D2DD
Smooth,0,#F7F2D8
Soft ecru,0,#DFD9D2
Star dust,0,#B1B1AF
Stream,0,#689CC5
Sunny,0,#F5EFD4
Swan,0,#EFECE4
Sweet cream,0,#F9EBD7
Vanilla mousse,0,#F1EAE8
Wedding cake,0,#E9EADE
Wind,0,#CAC7E1
Zen,0,#E3E9EE
