name,space_id,color
Biała,0,F5F4ED
przydymiony róż,0,D6CCCA
różany na test,0,D8C5C1
etno czerwony,0,B05446
miedziany oranż,0,CC907B
nowy żółty,0,DAB955
musztardowy trend,0,C19659
urban jungle,0,717366
zieleń boho,0,385248
element patyny,0,98A9A4
industrialny niebieski,0,95A7B4
loftowy granat,0,4E5B66
granat pierwsza klasa,0,324965
modern bordo,0,6B4A50
ponadczasowa sepia,0,EAE4DB
pastelowy komfort,0,E7DCD5
kremowa klasyka,0,E8E1CB
vintage beżowy,0,D8D1C5
designerski beż,0,D9C3A4
zawsze beżowy,0,C9BDB2
retro klimat,0,CEAF96
różowy a brąz,0,9B8987
vintage miodowy,0,A38061
