name,space_id,color
Nieskazitelna Biel,0,F3F2EC
Nietuzinkowe Ecru,0,F6F2E5
Niebywale Śmietankowy,0,F2EDE3
Czar Alabastru,0,EBEAE8
Beztroska Zima,0,DEE2E0
Czysty Róż,0,F1DEE6
różany na test,0,D8C5C1
Pudrowy Róż,0,DAB6AB
Niedelikatnie Różowy,0,C199A3
Niezmienny Amarant,0,D97A99
Niebanalnie Arbuzowy,0,D86165
Wzorowa Czerwień,0,C5473F
Wyborny Lukier,0,F0E4DB
Naturalnie Odporny,0,EADED1
Wystrzałowy Szampański,0,ECD8C5
Morelowy na Okrągło,0,FDBB8F
Istny Koralowy,0,F9AE97
Doskonała Pomarańcza,0,FDA365
miedziany oranż,0,CC907B
Totalnie Kremowy,0,F6E5D0
Cud Miód,0,FEDFA1
Piaskowa Moc,0,E1CFBE
Matowy Puder,0,F6CEA2
Siła Wanilii,0,F5EBD4
Popisowy Biszkopt,0,F1E0C6
Słoneczny Patrol,0,FEE089
Złoty na Medal,0,FED56A
Niezłe Ziółko,0,E1DFC7
Trwale Zielony,0,D5D6B5
Perfekcyjna Pistacja,0,D6E0A0
Zieleń pod Ochroną,0,C1C379
Niedościgniona Limonka,0,CFBF3B
miętowa szarość,0,BDC3B9
Tropikalna Zieleń,0,65775B
zieleń boho,0,385248
Tu Turkus,0,B1D1CF
Niezmącony Lazur,0,90CCD0
Szykowny Turkus,0,5A8F95
Morski Granat,0,3A5E67
Bezbłędny Błękit,0,CFDBE5
Niebiańska Energia,0,C1DDE2
Baby Blue,0,AFCCDD
Wdzięczny Szafirowy,0,9BB6D1
Królewski Niebieski,0,76AAB9
granat pierwsza klasa,0,324965
Liliowa Magia,0,B8BCD4
Fiołkowa Świeżość,0,B793C4
Niezłomny Fiolet,0,7F7A9A
Neutralna Biel,0,EEEFE8
ponadczasowa sepia,0,EAE4DB
vintage beżowy,0,D8D1C5
Mleczna Pralina,0,D7CCC7
Solidny Szary Beż,0,CECCC3
Mistrzowskie Płótno,0,D2CABF
zawsze beżowy,0,C9BDB2
Potęga Zmierzchu,0,B8B4AE
Efektowny Brąz,0,BDAA9D
Stylowe Khaki,0,B1AC96
Twardy Orzech,0,A09591
Czekoladowa perfekcja,0,A18D80
różowy a brąz,0,9B8987
vintage miodowy,0,A38061
Mocna Kawa,0,7D7974
