name,space_id,color
Antyczny Marmur,0,F6F2E5
Ziarno Sezamu,0,F4F0E4
Białe Żagle,0,E9EAE9
Garść Muszelek,0,ECE7E4
Rajska Plaża,0,F0E8DD
Światełka Heraklionu,0,F5EDCF
Białe Wino,0,F4E9D4
Grecka Chałwa,0,F5E6D1
Słońce Hellady,0,F1E0C6
Ogrody Magnolii,0,F4E0E1
Lody Malaga,0,F4DCCF
Różane Perfumy,0,F2BCC2
Kwitnący Migdałowiec,0,D3BFC1
Apetyczne Tapas,0,F6B99D
Arbuzowa Fiesta,0,F39578
Malinowa Granada,0,C25C67
Ogniste Flamenco,0,B94D4D
Wino z Cordoby,0,9C4C49
Promienny Świt,0,FBDCAE
Imbirowa Herbata,0,F9D1AA
Beżowy Pled,0,DBCFC0
Złoty Posąg,0,F2C89B
Miedziany Amulet,0,EAB696
Masala Chai,0,D1B098
Piaskowa Mandala,0,F4AC71
Buddyjskie Kadzidło,0,E09B6C
Szafranowe Szaty,0,E9855D
Suszone Morele,0,F08948
Serce Tybetu,0,EC6D2B
Pustynny Szlak,0,ECD8C5
Tropikalne Słońce,0,FADAA1
Złota Świątynia,0,FDD28D
Złoto Cejlonu,0,FAC681
Dojrzewający Banan,0,FBE8B8
Cytrynowy Sad,0,FFDF96
Słoneczne Sari,0,FFE087
Ciepły Piasek,0,FFD090
Egzotyczne Curry,0,FFC04D
Korzeń Kurkumy,0,FFAF3E
Plantacja Kawy,0,C9B96D
Ryżowe Pola,0,CFBF3B
Pąki Akacji,0,DFE6B7
Bambusowy Gaj,0,D6E0A0
Ogród Zen,0,CBCBB0
Las Równikowy,0,AFC657
Zielone Tarasy,0,B5A728
Dzikie Pnącza,0,8CA23B
zieleń boho,0,385248
Błękitny Lodowiec,0,85A6AB
Lodowy Brzask,0,B9E3E5
Turkusowy Klif,0,85CCDE
Bezkresny Ocean,0,91B5D8
Energia Oceanu,0,3A5267
Wrzosowy Świt,0,DBD1DD
Kwiat Rozmarynu,0,BDBBDA
Czar Prowansji,0,C3ADBD
Fiołek Alpejski,0,A86D86
Zapach Prowansji,0,977287
Lawendowa Dolina,0,867091
Neutralna Biel,0,EEEFE8
Mroźny Poranek,0,E5DFD7
Fińska Sauna,0,D2CFC6
Zatoka Wikingów,0,CBC4B8
Stepy Bengalu,0,D7BEA3
Aromatyczny Kardamon,0,BEA99D
Szczypta Cynamonu,0,C9A887
Droga Pielgrzyma,0,B1937D
Drzewo Sandałowe,0,B28D80
różowy a brąz,0,9B8987
Indyjski Palisander,0,8F6C58
