name,space_id,color
DETALE 1 - Limestone,0,a19e97
DETALE 2 - Cold Steel,0,7d7a70
DETALE 3 - Lava,0,65645d
DETALE 4 - Chalk Board,0,41413c
DETALE 5 - Warm Teracotta,0,865d33
DETALE 6 - Dusty Jade,0,939e94
DETALE 7 - Iron Stone,0,373e3e
DETALE 8 - Deep Blue,0,2c3037
DETALE 9 - Eggplant,0,3f363c
DETALE 10 - Ivory,0,bbbab4
DETALE 11 - Mist,0,6c716f
DETALE 12 - Taupe,0,807564
DETALE 13 - Beige Berry,0,af8572
DETALE 14 - Royal Velvet,0,606973
DETALE 15 - Dark Emerald,0,373d36
DETALE 16 - Burnt Ruby,0,373d36
DETALE 17 - Dark Soil,0,574f45
DETALE 18 - Vintage Blue,0,6a7c7b
DETALE 19 - Spicy Lobster,0,ae6141
DETALE 20 - Ocean,0,263b4e
DETALE 21 - Mauve,0,473439
DETALE 22 - Hunters Forest,0,797561
DETALE 23 - Warm Sand,0,746951
DETALE 24 - Elephant,0,716961
DETALE 25 - Concrete,0,b5b4ac
DETALE 26 - Pale Beach,0,b6b1a4
DETALE 27 - Rose Cloud,0,8d7569
DETALE 28 - Vintage Surf,0,a7b09d
DETALE 29 - Moss,0,8b7f51
DETALE 30 - Rock,0,808279
DETALE 31 - Tropical Lagoon,0,468da0
DETALE 32 - Burgundy,0,452b2e
DETALE 33 - Dark Plum,0,5b4547
DETALE 34 - Mustard,0,85754a
DETALE 35 - Indian Sun,0,c1a93c
DETALE 36 - Sweet Vanilla,0,bbb19a
DETALE 37 - Big Apple,0,848c7f
DETALE 38 - Green Day,0,545a57
DETALE 39 - Kale,0,4f554e
DETALE 40 - Sakura,0,7d6e67
DETALE 41 - Hazel,0,6d6156
DETALE 42 - Silver Fox,0,67655b
DETALE 43 - Mulberry,0,6b4e4b
DETALE 44 - Aqua,0,979c99
DETALE 45 - Camel,0,846344
DETALE 46 - Storm,0,444746
DETALE 47 - Golden Eye,0,a78c53
DETALE 48 - Maroon,0,42312d
DETALE 49 - Bloody Mary,0,5c3b33
DETALE 50 - Fall,0,86513d
DETALE 51 - Copengrey,0,4c4a46
DETALE 52 - Flax,0,85786b
DETALE 53 - Mellow,0,b2a69b
DETALE 54 - Cava,0,9d9485
DETALE 55 - Marine,0,32353b
DETALE 56 - Coal,0,393836
DETALE 57 - Evergreen,0,3b413c
DETALE 58 - Cool Cocoa,0,44403c
DETALE 59 - Purple Rain,0,484244
DETALE 60 - Dusty Dawn,0,939e94
DETALE 61 - Unity,0,928f85
DETALE 62 - Sand,0,9e9281
DETALE 63 - Light Lavender,0,8c837e
DETALE 64 - Linen,0,c2c0b5
DETALE 65 - Denim,0,757a79
DETALE 66 - Metallica,0,5b5f62
DETALE 67 - Starlight,0,818a91
