name,space_id,color
IN-500 - Nano White,0,f7f7f2
IN-501 - Downy White,0,edeae4
IN-502 - Sun-Fleck,0,fcf4d9
IN-503 - Cream White,0,DBD1C0
IN-504 - Light Honey,0,fae7c8
IN-505 - Columbine,0,fcea88
IN-506 - Plant Seed,0,dbd1b0
IN-507 - Light Flax,0,ccbfae
IN-508 - Melon Sherbet,0,e8be84
IN-509 - Carambole,0,d5bb78
IN-510 - Summer Tundra,0,896f55
IN-511 - Mocha Cream,0,b3967f
IN-512 - Manor Ochre,0,bb7341
IN-513 - Daffodil,0,f3c253
IN-514 - Tundra Shade,0,64584d
IN-515 - Maple Syrup,0,80594a
IN-520 - Havana,0,635249
IN-521 - Cinderella,0,e2b8bc
IN-523 - Powder Puff,0,ccb4b8
IN-525 - Cream,0,e1d5c9
IN-526 - Nougat Cream,0,c0ada4
IN-527 - Aroma Soil,0,928080
IN-529 - Light Oyster,0,d5c8bc
IN-530 - Natural Umber,0,a09593
IN-531 - Red Bean,0,604a4d
IN-533 - Caffe Latte,0,c8b19c
IN-534 - Balsamico,0,413433
IN-535 - Dusk Lilac,0,4f4751
IN-536 - Aromatic Wine,0,462e35
IN-540 - Ozone,0,ddeaed
IN-541 - Snowflake,0,f2faf8
IN-542 - Mint Blue,0,a6c6c9
IN-543 - Glacier,0,bcc6cd
IN-544 - Ever Blue,0,82b5d6
IN-546 - Frost,0,c2c9d5
IN-547 - Camphor Blue,0,98c1cd
IN-548 - Bluish Turquoise,0,438ca1
IN-549 - Lavender Soap,0,7f808f
IN-550 - Soft Pigeon Blue,0,899dae
IN-551 - Dust Blue,0,60778a
IN-552 - Dark Petrol,0,2e4a57
IN-553 - Lilac Karma,0,41425d
IN-554 - Dim Cobalt,0,1f3659
IN-555 - Blue Planet,0,465165
IN-556 - Polar Darkness,0,272b36
IN-560 - Fresh Mint,0,448159
IN-561 - Oat Spike,0,cfcdb7
IN-562 - Sweet Lime,0,dad469
IN-563 - Eco Hype,0,b5b394
IN-564 - Wasabi Spice,0,c2c17f
IN-565 - Fresh Lemongrass,0,dbddd5
IN-566 - Liquorice Sherbet,0,c4cccd
IN-567 - Camouflage Green,0,818068
IN-568 - Ever Green,0,93a957
IN-569 - Clear Seagreen,0,99bdb1
IN-570 - Tropical Rain,0,9fb4ae
IN-571 - Oil Green,0,6a6555
IN-572 - Tropical Island,0,4bb69d
IN-573 - Petrol,0,5f808b
IN-574 - Smoked Green,0,7d8e89
IN-575 - Onyx,0,3a3732
IN-576 - Dark Parka,0,51514c
IN-580 - Anthracite Grey,0,3a3e40
IN-581 - Strawberry Cream,0,f2e8e4
IN-582 - Plaster White,0,e4e6df
IN-583 - Belemnite,0,c9c0ba
IN-584 - Zen Garden,0,c4c6c5
IN-585 - French Champagne,0,ebe6dd
IN-586 - Parchment White,0,f5f2e9
IN-587 - Velvet Grass,0,8b7f7b
IN-588 - Flexi Grey,0,a2a8aa
IN-589 - Olive Soap,0,b2ada1
IN-590 - Beige Wool,0,cdc2b7
IN-591 - Club Exclusive,0,504e51
IN-592 - Designers Grey,0,747779
IN-593 - Olive Stone,0,6f6b60
IN-594 - Sahara,0,bdafa0
IN-595 - Bakelit,0,2d3234
IN-596 - Charcoal Grey,0,4E5152
