name,space_id,color
S0300-N,0,F6F3EF
S0500-N,0,F0EDE9
S0502-B,0,EAEFEF
S0502-B50G,0,EAEFEF
S0502-G,0,E9ECE8
S0502-G50Y,0,EEEEE5
S0502-R,0,F1E9E6
S0502-R50B,0,EEEAEC
S0502-Y,0,F6F0E4
S0502-Y50R,0,F4EDE3
S0505-B,0,E1EAED
S0505-B20G,0,E3EDEE
S0505-B50G,0,E3EDEC
S0505-B80G,0,E8F0EB
S0505-G,0,E5EDE6
S0505-G10Y,0,EBEFE7
S0505-G20Y,0,E7EDE2
S0505-G30Y,0,E7EDE0
S0505-G40Y,0,F0F2E4
S0505-G50Y,0,F1F2E0
S0505-G60Y,0,F1F2E0
S0505-G70Y,0,F0EEDD
S0505-G80Y,0,F1EEDB
S0505-G90Y,0,F9F3DF
S0505-R,0,F6E8E4
S0505-R10B,0,F2E5E5
S0505-R20B,0,F1E5E7
S0505-R30B,0,F3E8EC
S0505-R40B,0,EEE6EB
S0505-R50B,0,ECE7EB
S0505-R60B,0,ECEAF0
S0505-R70B,0,E7E8ED
S0505-R80B,0,E5E8ED
S0505-R90B,0,E3E9ED
S0505-Y,0,F7F0DA
S0505-Y10R,0,F6EDD7
S0505-Y20R,0,F7EDD4
S0505-Y30R,0,FBECD4
S0505-Y40R,0,FCEBD8
S0505-Y50R,0,F7E5D4
S0505-Y60R,0,F7E8DB
S0505-Y70R,0,F5E5DC
S0505-Y80R,0,F7E8E0
S0505-Y90R,0,F7E8E2
S0507-B,0,DEEAEF
S0507-B20G,0,DDEBED
S0507-B80G,0,E1EEE8
S0507-G,0,E5F1E7
S0507-G40Y,0,ECF0DD
S0507-G80Y,0,F1EFD5
S0507-R,0,F7E4E2
S0507-R20B,0,F2E1E5
S0507-R40B,0,F0E5EB
S0507-R60B,0,EBE7EF
S0507-R80B,0,DFE6EE
S0507-Y,0,F6EDD2
S0507-Y20R,0,FAECD0
S0507-Y60R,0,F9E4D4
S0507-Y80R,0,F9E4DC
S0510-B,0,D2E3EA
S0510-B10G,0,D2E6EB
S0510-B30G,0,D1E7E7
S0510-B50G,0,DAECEB
S0510-B70G,0,D7EDE7
S0510-B90G,0,D8EDE3
S0510-G,0,DDF0E0
S0510-G10Y,0,E0EFDE
S0510-G20Y,0,E3EFDC
S0510-G30Y,0,E5EED6
S0510-G40Y,0,EBF1D5
S0510-G50Y,0,E9EDD4
S0510-G60Y,0,EAEDD1
S0510-G70Y,0,F2F3CE
S0510-G80Y,0,F1EFCC
S0510-G90Y,0,F5EECC
S0510-R,0,F8DCD8
S0510-R10B,0,F8E0DF
S0510-R20B,0,F4DDE0
S0510-R30B,0,F1DEE4
S0510-R40B,0,EFE2E8
S0510-R50B,0,ECE2EA
S0510-R60B,0,E4E1EB
S0510-R70B,0,DDDFEA
S0510-R80B,0,DBE4ED
S0510-R90B,0,DAE8F0
S0510-Y,0,F2E8C4
S0510-Y10R,0,FDECC4
S0510-Y20R,0,FBE8C3
S0510-Y30R,0,FBE4C5
S0510-Y40R,0,FFE3C5
S0510-Y50R,0,FDE3CC
S0510-Y60R,0,FFE2CE
S0510-Y70R,0,FFDECE
S0510-Y80R,0,FDDFD3
S0510-Y90R,0,FADFD7
S0515-B,0,C8E2EB
S0515-B20G,0,C3E3E7
S0515-B50G,0,C8E9E7
S0515-B80G,0,C9EADF
S0515-G,0,D2ECD8
S0515-G20Y,0,D7EBD0
S0515-G40Y,0,E6EFCD
S0515-G60Y,0,E7EBC0
S0515-G80Y,0,EFEDBF
S0515-G90Y,0,F9EEBE
S0515-R,0,F8D4D1
S0515-R10B,0,F6D4D7
S0515-R20B,0,F3D5DC
S0515-R40B,0,EFDAE9
S0515-R60B,0,DEDBED
S0515-R80B,0,CEDCEC
S0515-R90B,0,CADDEC
S0515-Y10R,0,FCE9B8
S0515-Y20R,0,FFE4B5
S0515-Y30R,0,FEDCB2
S0515-Y50R,0,FFD7B9
S0515-Y60R,0,FED7C1
S0515-Y70R,0,FCD4C2
S0515-Y80R,0,FFD6CA
S0515-Y90R,0,FAD4CB
S0520-B,0,BBDDEB
S0520-B10G,0,B5DFE9
S0520-B30G,0,B3E0E3
S0520-B40G,0,B4E0E1
S0520-B50G,0,BBE5E3
S0520-B60G,0,B7E6E1
S0520-B70G,0,B7E7DD
S0520-B90G,0,BEE9D6
S0520-G,0,C6ECD1
S0520-G10Y,0,C7ECCD
S0520-G20Y,0,D0EAC8
S0520-G30Y,0,D6E8C0
S0520-G40Y,0,DDEBBB
S0520-G50Y,0,E7F0BB
S0520-G60Y,0,E6ECB6
S0520-G70Y,0,EFF1B6
S0520-G80Y,0,F3ECB1
S0520-G90Y,0,F4E8AD
S0520-R,0,F9C8C5
S0520-R10B,0,F5C9CD
S0520-R20B,0,F5CDD5
S0520-R30B,0,F6D0DD
S0520-R40B,0,EBCFE2
S0520-R50B,0,E1CFE5
S0520-R60B,0,D6D2E8
S0520-R70B,0,CCD5EC
S0520-R80B,0,C4D7EC
S0520-R90B,0,C0D8EA
S0520-Y,0,F8E7AD
S0520-Y10R,0,FDE5AD
S0520-Y20R,0,FFDDA4
S0520-Y30R,0,FFD8A9
S0520-Y40R,0,FFD3A9
S0520-Y50R,0,FECDA9
S0520-Y70R,0,FCC9B4
S0520-Y80R,0,FFCEBF
S0520-Y90R,0,FECBC2
S0525-R60B,0,CEC9E7
S0525-R70B,0,C6CEEC
S0530-B,0,A1D4EA
S0530-B10G,0,96D4E4
S0530-B30G,0,92D8DF
S0530-B40G,0,96DCDC
S0530-B50G,0,9AE2E0
S0530-B60G,0,9ADFD7
S0530-B70G,0,9DE2D4
S0530-B90G,0,A1E6CB
S0530-G,0,A8E1BD
S0530-G10Y,0,B1E3BA
S0530-G20Y,0,B5E3B1
S0530-G30Y,0,C1E4AA
S0530-G40Y,0,D1E8A8
S0530-G50Y,0,D8E69E
S0530-G60Y,0,E0E89B
S0530-G70Y,0,EDEF9D
S0530-G80Y,0,F0EB9A
S0530-G90Y,0,FDEE9A
S0530-R,0,FCB7B7
S0530-R10B,0,FAB7C0
S0530-R20B,0,FABFCF
S0530-R30B,0,F0BAD1
S0530-R40B,0,E6BDDC
S0530-R50B,0,D8BEE2
S0530-R80B,0,ADCAEB
S0530-R90B,0,A3CDE9
S0530-Y,0,FFE695
S0530-Y10R,0,FFDD92
S0530-Y20R,0,FFD48F
S0530-Y30R,0,FFCC8C
S0530-Y40R,0,FFC690
S0530-Y50R,0,FFC193
S0530-Y60R,0,FFBB98
S0530-Y70R,0,FFB99F
S0530-Y80R,0,FFB9A9
S0530-Y90R,0,FFBAB0
S0540-B,0,81C6E1
S0540-B10G,0,74CCE0
S0540-B30G,0,70D1D7
S0540-G,0,8CDDB3
S0540-G10Y,0,9ADEA8
S0540-G20Y,0,A5E0A1
S0540-G30Y,0,B0DE94
S0540-G40Y,0,C5E18D
S0540-G50Y,0,CFDF86
S0540-G60Y,0,DEE984
S0540-G70Y,0,E8EA83
S0540-G80Y,0,F0E87F
S0540-G90Y,0,FBE87E
S0540-R10B,0,FAA2AF
S0540-R20B,0,F4A4BA
S0540-R30B,0,F2A8CA
S0540-R90B,0,89C0E9
S0540-Y10R,0,FFD97D
S0540-Y30R,0,FFC277
S0540-Y40R,0,FFB678
S0540-Y50R,0,FFB27E
S0540-Y60R,0,FFAA82
S0540-Y70R,0,FFA587
S0540-Y80R,0,FFA593
S0550-G10Y,0,81D996
S0550-G20Y,0,92D78B
S0550-G30Y,0,A5D77E
S0550-G40Y,0,BBDD75
S0550-R,0,F5888B
S0550-R10B,0,F48C9C
S0550-Y10R,0,FFD463
S0550-Y20R,0,FFC560
S0550-Y40R,0,FFAA63
S0550-Y50R,0,FFA168
S0550-Y90R,0,F88B83
S0560-G10Y,0,61CB7E
S0560-G20Y,0,80D473
S0560-G30Y,0,95D165
S0560-G40Y,0,ADD35B
S0560-R,0,F1727A
S0560-Y,0,FFD444
S0560-Y10R,0,FFCC48
S0560-Y20R,0,FFBC48
S0565-G10Y,0,4BC474
S0603-G40Y,0,EBECE2
S0603-G80Y,0,EEEBDE
S0603-R20B,0,EFE6E7
S0603-R40B,0,EDE6E9
S0603-R60B,0,EAE7EB
S0603-R80B,0,E6E8EB
S0603-Y20R,0,F1EADA
S0603-Y40R,0,F3EADC
S0603-Y60R,0,F3E9E0
S0603-Y80R,0,F1E9E6
S0800-N,0,eaeaea
S0804-B50G,0,DEE4E1
S0804-G20Y,0,E0E4DC
S0804-G60Y,0,E6E6D9
S0804-G90Y,0,EAE5D5
S0804-R10B,0,ECDFE0
S0804-R30B,0,E9E0E3
S0804-R50B,0,E6E1E5
S0804-R70B,0,E2E2E7
S0804-R90B,0,E0E3E5
S0804-Y10R,0,EFE7D6
S0804-Y30R,0,EEE4D3
S0804-Y50R,0,ECE0D2
S0804-Y70R,0,ECE0DA
S0804-Y90R,0,EBE0DC
S0907-B20G,0,D2E0E1
S0907-B80G,0,D5E3DE
S0907-G20Y,0,DAE2D5
S0907-G60Y,0,E2E4CE
S0907-G90Y,0,E8E3C8
S0907-R10B,0,E8D6D5
S0907-R30B,0,E7D9DE
S0907-R50B,0,E1DBE3
S0907-R70B,0,DBDDE5
S0907-R90B,0,D7DEE3
S0907-Y10R,0,ECE1C7
S0907-Y30R,0,EFDDC4
S0907-Y50R,0,EED9C7
S0907-Y70R,0,EED8CD
S0907-Y90R,0,EDD8D3
S1000-N,0,E1DFDD
S1002-B,0,DBDDE0
