name,space_id,color
RAL 1000,0,CDBA88
RAL 1001,0,D0B084
RAL 1002,0,D2AA6D
RAL 1011,0,AF804F
RAL 1013,0,E3D9C6
RAL 1014,0,DDC49A
RAL 1015,0,E6D2B5
RAL 1019,0,A48F7A
RAL 1020,0,A08F65
RAL 1024,0,BA8F4C
RAL 1034,0,EB9C52
RAL 2012,0,D5654D
RAL 3007,0,3E2022
RAL 3011,0,792423
RAL 3012,0,C6846D
RAL 3014,0,CB7375
RAL 3015,0,D8A0A6
RAL 3017,0,CB555D
RAL 3022,0,CF6955
RAL 4001,0,816183
RAL 4003,0,C4618C
RAL 4005,0,76689A
RAL 4007,0,47243C
RAL 4008,0,844C82
RAL 4009,0,9D8692
RAL 5000,0,314F6F
RAL 5001,0,0F4C64
RAL 5002,0,00387B
RAL 5003,0,1F3855
RAL 5004,0,191E28
RAL 5005,0,005387
RAL 5007,0,376B8C
RAL 5008,0,2B3A44
RAL 5009,0,225F78
RAL 5010,0,004F7C
RAL 5011,0,1A2B3C
RAL 5012,0,0089B6
RAL 5013,0,193153
RAL 5014,0,637D96
RAL 5015,0,007CB0
RAL 5017,0,005B8C
RAL 5018,0,058B8C
RAL 5019,0,005E83
RAL 5020,0,00414B
RAL 5021,0,007577
RAL 5022,0,222D5A
RAL 5023,0,42698C
RAL 5024,0,6093AC
RAL 6000,0,3C7460
RAL 6003 - Olivgrun,0,50533C
RAL 6004,0,024442
RAL 6006,0,3C392E
RAL 6007,0,2C3222
RAL 6008,0,37342A
RAL 6009,0,27352A
RAL 6011,0,6C7C59
RAL 6012,0,303D3A
RAL 6013,0,7D765A
RAL 6015,0,3D3D36
RAL 6016,0,00694C
RAL 6018,0,61993B
RAL 6019,0,B9CEAC
RAL 6020 - Chromoxidgrun,0,37422F
RAL 6021,0,8A9977
RAL 6022,0,3A3327
RAL 6024,0,008351
RAL 6026,0,005F4E
RAL 6027,0,7EBAB5
RAL 6028,0,315442
RAL 6029,0,006F3D
RAL 6032,0,237F52
RAL 6033,0,46877F
RAL 6034,0,7AACAC
RAL 7000,0,7A888E
RAL 7001,0,8C969D
RAL 7002,0,817863
RAL 7003,0,7A7669
RAL 7004,0,9B9B9B
RAL 7005,0,6C6E6B
RAL 7006,0,766A5E
RAL 7008,0,745E3D
RAL 7009,0,5D6058
RAL 7010,0,585C56
RAL 7011,0,52595D
RAL 7012 - Basaltgrau,0,575D5E
RAL 7013,0,575044
RAL 7015,0,4F5358
RAL 7016,0,383E42
RAL 7021,0,2F3234
RAL 7022,0,4C4A44
RAL 7023,0,808076
RAL 7024,0,45494E
RAL 7026,0,374345
RAL 7030,0,928E85
RAL 7031,0,5B686D
RAL 7032,0,B5B0A1
RAL 7033,0,7F8274
RAL 7034,0,92886F
RAL 7035,0,C5C7C4
RAL 7036,0,979392
RAL 7037,0,7A7B7A
RAL 7038,0,B0B0A9
RAL 7039,0,6B665E
RAL 7040,0,989EA1
RAL 7042,0,8E9291
RAL 7043,0,4F5250
RAL 7044,0,B7B3A8
RAL 7045,0,8D9295
RAL 7046,0,7F868A
RAL 7047,0,C8C8C7
RAL 8002,0,794D3E
RAL 8004,0,8D4931
RAL 8014 - Sepiabraun,0,4A3526
RAL 8016,0,4C2B20
RAL 8017,0,442F29
RAL 8019,0,3D3635
RAL 8022,0,1A1718
RAL 8023,0,A45729
RAL 8024,0,795038
RAL 8025,0,755847
RAL 8028,0,513A2A
RAL 9001,0,E9E0D2
RAL 9002,0,D7D5CB
RAL 9003,0,ECECE7
RAL 9004,0,2B2B2C
RAL 9005,0,0E0E10
RAL 9010,0,F1ECE1
RAL 9011,0,27292B
RAL 9016,0,F1F0EA
RAL 9017,0,2A292A
RAL 9018,0,C8CBC4
