name,space_id,color
NO.1 - Zinkhvid,0,FFF9DD
NO.2 - Okker + Zh,0,FBCE93
NO.3 - Brændt Umbra + Zh,0,BBAB9E
NO.4 - Jernoxydrød + Zh,0,E3BCBB
NO.5 - Caput Mortuum + Zh,0,CFB4B4
NO.6 - Berlinerblå + Zh,0,AEDDE4
NO.7 - Cromoxyd Grøn + Zh,0,CFDDC2
NO.8 - Kønrøg + Zh,0,A7AEAE
NO.9 - Zinkhvid,0,F9FBF1
NO.10 - Gul Okker,0,F1CD9A
NO.11 - Brændt Umbra,0,ADA096
NO.12 - Jernoxydrød,0,D9B7B3
NO.13 - Caput Mortuum,0,A2A1A3
NO.14 - Berlinerblå,0,B6C6E1
NO.15 - Cromoxyd Grøn,0,C8CFAF
NO.16 - Kønrøg,0,8E9599
NO.17 - Zinkhvid,0,FFFBD9
NO.18 - Okker,0,B28758
NO.19 - Brændt Umbra,0,543C36
NO.20 - Jernoxydrød,0,6F433A
NO.21 - Caput Mortuum,0,574131
NO.22 - Berlinerblå + Zh,0,29405D
NO.23 - Cromoxyd Grøn,0,507846
NO.24 - Kønrøg,0,383C3A
NO.25 - Hvid,0,FEF7D5
NO.29 - Bordeaux,0,823B2C
NO.30 - Blå,0,92B2CA
NO.31 - Grøn,0,759E69
NO.32 - Grå,0,6A7271
NO.33 - Kittiwake Grey,0,BEB9A7
NO.34 - Beige Shadow,0,E2DCC8
NO.35 - Marble White,0,FEFEF0
NO.36 - Harvest Home,0,F9D889
NO.37 - Tawny Desert,0,DFC38F
NO.38 - Victorian Silk,0,EDD8AB
NO.39 - Oyster White,0,F1E8CF
NO.40 - Mushroom Grey,0,D8D3C7
NO.41 - Chateau Grey,0,C5BFB3
NO.42 - Pilgrim,0,908475
NO.43 - Mission White,0,F4EBD6
NO.44 - Canyon Beige,0,BEAA96
NO.45 - Etruscan Red,0,A05E4D
NO.46 - Salem Red,0,71443F
NO.47 - Starling,0,BFB9B3
NO.48 - Hindu,0,8A8078
NO.49 - Sierra Rose,0,B39D9C
NO.50 - Cossack,0,776E74
NO.51 - English Lilac,0,C6BFC6
NO.52 - Smoke Puff,0,F0EEEB
NO.53 - Oregon Grape,0,586D7B
NO.54 - Turkish Blue,0,91AAB8
NO.55 - Dove Blue,0,B4D4DA
NO.56 - Silver Cloud,0,D5EBEB
NO.57 - Seacliff,0,BBD1D1
NO.58 - English Mist,0,BECCC0
NO.59 - Night Mist,0,EEF6E6
NO.60 - Bagdad Grey,0,97A1A3
NO.61 - Vineyard,0,8A9D91
NO.62 - Gardenia Green,0,9CAA9B
NO.63 - Iron Grey,0,A2A9A7
NO.64 - Turtledove,0,CDD0C7
NO.65 - Greige,0,E1E7E4
NO.66 - Green River Mist,0,E3E1BE
NO.67 - Pale Willow,0,F1F1D0
NO.68 - Naturhvid,0,F8FBF2
NO.69 - Siena Claire,0,CEB486
NO.70 - Okker,0,FDD296
NO.71 - Gul Okker,0,F5BC6E
NO.72 - Fransk Okker,0,B78752
NO.73 - Oxidbrun,0,645248
NO.74 - Umbra Brændt,0,9A8975
NO.75 - Lys Umbra Naturel,0,E7E0CD
NO.76 - Terra Di Siena Na.,0,F0DDBE
NO.77 - Havana,0,EEC294
NO.78 - Terracotta,0,DA9164
NO.79 - Terra Di Siena Br.,0,EBB996
NO.80 - Okker Rød,0,CE895D
NO.81 - Mørk Oxidrød,0,955341
NO.82 - Italiensk Rød,0,FAA085
NO.83 - Dodenkop Brun,0,86594D
NO.84 - Lys Umbra Brændt,0,D9C3AD
NO.85 - Lys Oxidblå,0,DBE2E2
NO.86 - Lys Oxidgrøn,0,DCD6AD
NO.87 - Oxidsort,0,5A5A56
NO.88 - Lys Oxid Noir,0,9EA29F
NO.89 - Hvid,0,F7F9F0
NO.90 - Grå Hvid,0,EEEBD8
NO.91 - Gul Okker,0,EBBC78
NO.92 - Dyrehaverød,0,7D4334
NO.93 - Caput Mortuum,0,573F35
NO.94 - Brændt Umbra,0,413C38
NO.95 - Grå Mellem,0,A3A39F
NO.96 - Københavnerblå,0,323D41
NO.97 - Slotshavegrøn,0,3C443D
NO.98 - Vogngrøn,0,3B4623
NO.99 - Grøn Umbra Mørk,0,66725A
NO.100 - Grågrøn Mellem,0,AAB699
NO.101 - Sort,0,353937
