name,space_id,color
A1 - szlachetna biel,0,FFFEF8
A2 - perłowy agat,0,FFFCEE
A3 - szklisty topaz,0,DFE9E1
A4 - turkusowy akwamaryt,0,CAE7E7
A5 - lazurowy tanzanit,0,B7D9E4
A6 - intrygujący labradoryt,0,0C6C76
A7 - cejloński szafir,0,5E8AA4
A8 - śmiały tanzanit,0,5B7091
A9 - błękitny amazonit,0,79ADBB
A10 - zielony turmalin,0,D2DA5C
A11 - świetlisty jassonit,0,FFE3A1
A12 - czerwony koral,0,D83B39
A13 - księżycowy hematyt,0,5F6264
A14 - jasny kalcyt,0,DFDBD6
A15 - mleczny chalcedon,0,CCCDCE
A16 - stalowy awenturyn,0,B1B1B2
A17 - nietuzinkowy kwarc,0,888A8C
A18 - odważny onyks,0,37393A
A22 - krystaliczny kalcyt,0,CCC4BA
A23 - subtelny chalcedon,0,DFD7CB
A24 - śnieżny dolomit,0,F0E8D9
A25 - szampański agat,0,FAE6D0
A26 - alabastrowy jaspis,0,F2E0C4
A27 - majestatyczny aragonit,0,EDCFAA
A28 - tajemniczy bronzyt,0,D6BC9F
A30 - krzemień pasiasty,0,886D5F
A32 - różowy diament,0,EFC1BB
A33 - astralny angelit,0,B1B8C0
A35 - figlarny ametyst,0,C9BDD5
A36 - magiczny spinel,0,A58697
A38 - uroczy morganit,0,DDBEB8
A39 - górski kryształ,0,FBE4BF
A40 - romantyczny diament,0,F1ECDD
A41 - kremowy marmur,0,FFF3D7
A42 - eteryczny awenturyn,0,CECAAE
A43 - energetyczny oliwin,0,E6DC8C
A44 - wrażliwy malachit,0,B7CF78
A45 - egipski perydot,0,798354
A46 - zmysłowy aragonit,0,FFE3A6
A47 - kryształowy chalcedon,0,C5C8CD
A48 - słoneczny cytryn,0,FDCD29
A49 - indyjski awenturyn,0,F6AC61
A50 - marokański aragonit,0,FACDAB
A51 - mistyczny kwarc,0,A89A9D
A52 - harmonijny agat,0,FCF1E0
A53 - dyskretny aragonit,0,FAEFE0
A54 - promienny kwarc,0,D2C7B8
A55 - czuły morganit,0,F3DDDC
A56 - nieśmiały turmalin,0,D2DDDC
A57 - malowniczy agat,0,F8E9D5
A58 - morski tanzanit,0,CCDFDF
A59 - srebrzysty kwarc,0,D2CDCB
