name,space_id,color
C1 - biały diament,0,FFFEF2
C2 - aksamitny agat,0,FFF5E9
C3 - waniliowy kryształ,0,FFF7E0
C4 - perła północy,0,F6EBD6
C5 - dostojna perła,0,F6DEBF
C6 - lniany nefryt,0,EED4B3
C7 - brązowy jaspis,0,E2C194
C8 - spokojny agat,0,DABEA0
C9 - delikatny bronzyt,0,D1BAA7
C10 - szlachetny kryształ,0,EFE4D1
C11 - kamień księżycowy,0,C0B296
C12 - kawowy onyks,0,826957
C13 - kocie oko,0,FFFAE7
C14 - pastelowy opal,0,FFFCDB
C15 - subtelny cytryn,0,FFF5B1
C16 - złocisty topaz,0,FFF082
C17 - miodowy amber,0,FDD27B
C18 - blask kalcytu,0,F1D07F
C19 - pomarańczowy szafir,0,F09654
C20 - tygrysie oko,0,F77D39
C21 - róża pustyni,0,FFF6CD
C22 - bursztynowa komnata,0,FDE2AA
C23 - moc jadeitu,0,FFDA9B
C24 - gwiezdny kwarc,0,FFEACB
C25 - wyszukany aragonit,0,FCD9B6
C26 - koralowa laguna,0,FBBE91
C27 - namiętny karnelian,0,F3485B
C28 - kuszący rubin,0,A04C4C
C29 - szary piryt,0,E2E2E2
C30 - srebrzysty granit,0,C8C8C8
C31 - grafitowy marmur,0,939393
C32 - błękitny topaz,0,ABC2D7
C33 - królewski diament,0,FCDBD5
C34 - różowy kwarc,0,E7B5D6
C35 - wrzosowy rodonit,0,BC6586
C36 - fiołkowy ametyst,0,C1AED6
C38 - szmaragdowa toń,0,AAD5CB
C39 - naturalny turkus,0,6CB7CA
C40 - czysty oliwin,0,ACB069
C41 - zielony diament,0,D4DE82
C42 - wytworny malachit,0,92D66F
C43 - zwycięski aleksandryt,0,D0F15B
C45 - biały,0,FFFFFF
C46 - powabny diament,0,FBF3E9
C47 - finezyjny opal,0,F4EEE5
C48 - perłowy dolomit,0,EAE5D8
C49 - kamień faraonów,0,D3C7B5
C50 - czekoladowy krzemień,0,7C5846
C51 - piaskowy marmur,0,F9E7A7
C52 - ognisty karneol,0,B74039
C53 - jaspis picasso,0,B2B2B7
C54 - stylowy antracyt,0,5E6063
C55 - magiczny almandyn,0,9F7D9D
C56 - tajemnica szafiru,0,91A0B6
C57 - niebiański chalcedon,0,B9D9E1
C58 - mglisty krzemień,0,DDDAD1
C59 - szary kwarc,0,918A89
C60 - grafitowy antracyt,0,444951
C61 - szmaragdowy akwamaryn,0,4090A5
C62 - alabastrowy kryształ,0,EAE9DF
C63 - kremowy jaspis,0,DFD1C2
C64 - czarujący kwarc,0,F0D6CB
C65 - lawendowy angelit,0,CECEE1
C66 - kalifornijski morganit,0,FFEDC0
C67 - bezkresny tanzanit,0,404A63
C68 - intensywny sodalit,0,7E8B8B
C69 - zgaszony kalcyt,0,D8D6CF
C70 - surowy hematyt,0,E4E3E1
C71 - liliowy aragonit,0,F3F1ED
C72 - nostalgiczny opal,0,CAC8C4
C73 - intensywny szmaragd,0,2C6261
C74 - rajski fluoryt,0,C1D4C3
C75 - słoneczny szafir,0,E6B76C
C76 - lazurowy agat,0,1E7281
C77 - biały granit,0,FBF9F4
C78 - tajemniczy kalcyt,0,FCF8EE
